id,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,54,77,28
2,Female,40,48,61
3,Male,45,69,33
4,Female,31,78,14
5,Female,29,20,51
6,Female,29,46,51
7,Female,40,48,39
8,Female,29,35,50
9,Female,40,33,42
10,Female,49,65,21
11,Male,57,73,20
12,Female,36,44,44
13,Female,31,59,55
14,Female,48,69,47
15,Female,32,63,17
16,Female,32,63,7
17,Female,32,54,26
18,Female,35,16,55
19,Male,26,39,46
20,Male,30,78,24
21,Female,50,67,31
22,Female,29,44,44
23,Female,30,72,75
24,Male,25,78,56
25,Female,29,78,55
26,Male,55,63,37
27,Male,45,65,41
28,Male,35,54,49
29,Male,43,46,48
30,Female,30,17,13
31,Female,30,46,73
32,Female,22,33,46
33,Female,25,46,43
34,Male,47,29,35
35,Female,23,57,43
36,Female,23,33,28
37,Female,35,54,60
38,Female,47,57,15
39,Female,30,54,49
40,Female,31,54,65
41,Female,45,67,42
42,Male,43,78,48
43,Female,29,58,9
44,Male,38,28,52
45,Male,27,48,53
46,Male,56,67,48
47,Female,30,37,48
48,Female,50,28,74
49,Female,23,71,63
50,Female,22,70,66
51,Male,32,31,55
52,Male,35,75,14
53,Female,50,71,50
54,Female,30,17,55
55,Female,34,48,50
56,Female,38,75,8
57,Female,34,28,73
58,Female,40,44,50
59,Male,27,18,50
60,Male,40,54,46
61,Male,29,78,50
62,Female,28,40,49
63,Female,51,61,44
64,Male,46,87,43
65,Female,25,60,5
66,Female,32,37,70
67,Female,32,83,14
68,Male,53,65,21
69,Female,32,54,31
70,Female,23,19,59
71,Female,42,44,66
72,Female,20,32,49
73,Female,35,48,64
74,Male,31,73,46
75,Female,32,18,55
76,Female,32,52,17
77,Female,27,59,43
78,Male,36,69,41
79,Female,26,47,13
80,Female,21,63,46
81,Female,35,47,13
82,Male,28,69,40
83,Female,37,39,36
84,Male,32,67,53
85,Female,32,17,52
86,Female,32,62,59
87,Female,29,47,40
88,Male,49,73,40
89,Male,48,39,76
90,Female,35,23,47
91,Male,47,63,15
92,Female,26,78,54
93,Male,27,79,50
94,Male,38,37,41
95,Female,31,28,42
96,Female,27,30,42
97,Female,45,60,35
98,Female,39,43,39
99,Female,30,40,32
100,Female,32,48,16
101,Female,28,54,5
102,Female,29,19,42
103,Female,50,59,42
104,Female,26,64,5
105,Female,40,62,49
106,Female,54,78,19
107,Male,40,30,51
108,Male,24,39,51
109,Male,34,39,60
110,Male,43,48,8
111,Female,47,47,46
112,Female,34,65,46
113,Female,21,60,16
114,Male,36,48,49
115,Female,40,88,71
116,Male,31,29,46
117,Male,35,60,59
118,Female,32,33,41
119,Male,34,38,40
120,Female,35,32,15
121,Male,22,65,56
122,Female,30,33,75
123,Male,32,48,32
124,Male,35,16,48
125,Female,23,19,61
126,Female,32,61,14
127,Male,27,71,71
128,Female,32,43,36
129,Female,25,28,47
130,Male,25,78,48
131,Male,32,78,44
132,Female,28,31,52
133,Female,54,61,40
134,Female,47,79,9
135,Male,33,28,46
136,Female,34,66,60
137,Female,31,15,60
138,Male,31,70,39
139,Male,24,23,46
140,Female,32,41,42
141,Male,44,70,35
142,Female,44,42,49
143,Female,36,60,40
144,Female,38,60,43
145,Female,29,33,42
146,Female,20,39,6
147,Female,28,30,15
148,Male,46,48,59
149,Male,32,48,47
150,Female,29,43,17
151,Male,50,69,43
152,Female,32,54,17
153,Male,24,48,47
154,Male,35,62,26
155,Female,37,50,24
156,Male,32,48,35
157,Female,35,20,5
158,Male,42,72,42
159,Male,32,74,47
160,Female,37,17,14
161,Female,24,62,57
162,Female,21,43,75
163,Female,43,73,18
164,Female,31,62,55
165,Male,35,46,45
166,Female,24,17,56
167,Female,34,43,64
168,Female,50,61,35
169,Male,39,60,79
170,Female,63,78,16
171,Female,36,19,51
172,Male,32,61,42
173,Female,32,40,52
174,Male,54,65,33
175,Female,30,20,46
176,Female,32,30,11
177,Female,49,84,42
178,Female,23,71,35
179,Female,27,78,5
180,Male,26,28,77
181,Female,36,65,11
182,Male,40,73,11
183,Female,32,39,41
184,Female,59,63,36
185,Male,35,48,46
186,Female,47,50,46
187,Female,32,43,75
188,Male,24,62,20
189,Female,31,43,76
190,Female,46,71,15
191,Male,21,60,36
192,Female,28,18,20
193,Male,31,62,40
194,Female,45,54,40
195,Female,46,54,50
196,Female,29,40,55
197,Female,50,48,32
198,Male,30,18,48
199,Male,31,76,32
200,Male,40,43,47
